domain,scenario_group,scenario,source_language,target_language,source_text,target_text,speaker,listener,difficulty,tone,tags
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,My bag does not fit in the overhead bin.,Çantam üst bagaja sığmıyor.,passenger,cabin_crew,A1,neutral,"baggage,overhead_bin"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Could you help me with this bag? It is too big for the compartment.,"Bu çantaya yardımcı olur musunuz? Bölmeye sığmıyor, çok büyük.",passenger,cabin_crew,A1,polite,"baggage,compartment"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Your suitcase will not fit under the seat.,Valiziniz koltuğun altına sığmaz.,cabin_crew,passenger,A1,neutral,"baggage,under_seat"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please put that bag in the overhead locker.,Lütfen o çantayı üst bagaja koyun.,cabin_crew,passenger,A1,polite,"baggage,overhead_bin"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,It is too wide for the bin.,Çanta bölmeye fazla geniş.,cabin_crew,passenger,A1,neutral,"baggage,size"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,I think my backpack is blocking the aisle.,Sanırım sırt çantam geçidi kapatıyor.,passenger,cabin_crew,A2,polite,"baggage,aisle"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,There is not enough space for this item overhead.,Bu eşya için üstte yeterli yer yok.,cabin_crew,passenger,A2,neutral,"baggage,space"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"Can I place my small bag here, or does it need to go up top?","Küçük çantamı buraya koyabilir miyim, yoksa yukarı mı koymam gerekiyor?",passenger,cabin_crew,A2,polite,"baggage,placement"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,That bag needs to be checked because it will not fit onboard.,O çantanın kabine sığmayacağı için bagaja verilmesi gerekiyor.,cabin_crew,passenger,A2,formal,"baggage,checked_baggage"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,My trolley bag is too large for the cabin.,Tekerlekli çantam kabin için fazla büyük.,passenger,cabin_crew,A1,neutral,"baggage,cabin"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please check whether your bag fits in the size frame.,Lütfen çantanızın ölçü çerçevesine sığıp sığmadığını kontrol edin.,airport_staff,passenger,A2,formal,"baggage,size_check"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,This suitcase is a little too big for the cabin locker.,Bu valiz kabin dolabına biraz fazla büyük.,cabin_crew,passenger,A2,neutral,"baggage,locker"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,I cannot close the compartment with my bag inside.,Çantam içindeyken bölmeyi kapatamıyorum.,passenger,cabin_crew,A2,neutral,"baggage,compartment"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Could you move your bag? It does not fit where it is now.,Çantanızı biraz hareket ettirir misiniz? Şu haliyle sığmıyor.,cabin_crew,passenger,A2,polite,"baggage,adjustment"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,The bag is too bulky for the space above your seat.,"Çanta, koltuğunuzun üstündeki alana fazla hacimli.",cabin_crew,passenger,A2,neutral,"baggage,overhead_space"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Can you take this bag for me? It will not fit in the overhead bin.,Bu çantayı benim için alabilir misiniz? Üst bagaja sığmıyor.,passenger,cabin_crew,A2,polite,"baggage,assistance"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Your backpack is too tall for the locker.,Sırt çantanız dolap için fazla uzun.,cabin_crew,passenger,A1,neutral,"baggage,locker"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"I was told this bag would fit, but it does not.","Bu çantanın sığacağı söylenmişti, ama sığmıyor.",passenger,cabin_crew,A2,polite,"baggage,complaint"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please remove anything fragile before we check this bag.,Bu çantayı bagaja vermeden önce lütfen kırılacak eşyaları çıkarın.,airport_staff,passenger,B1,formal,"baggage,fragile_items"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,The bag does not fit in the seat pocket.,Çanta koltuk cebine sığmıyor.,passenger,cabin_crew,A1,neutral,"baggage,seat_pocket"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"For safety, that item cannot stay in the aisle.",Güvenlik için o eşya geçitte kalamaz.,cabin_crew,passenger,A2,formal,"baggage,safety"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,My bag is stuck and will not go all the way in.,"Çantam sıkıştı, tam olarak içeri girmiyor.",passenger,cabin_crew,A2,neutral,"baggage,stuck"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please place your smaller items under the seat in front of you.,Lütfen küçük eşyalarınızı önünüzdeki koltuğun altına koyun.,cabin_crew,passenger,A2,polite,"baggage,under_seat"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,This carry-on is not fitting in the bin at all.,Bu kabin bagajı bölmeye hiç sığmıyor.,cabin_crew,passenger,A2,neutral,"baggage,carry_on"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Can I keep my bag with me if it fits here?,Buraya sığıyorsa çantamı yanımda tutabilir miyim?,passenger,cabin_crew,A2,polite,"baggage,permission"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,We need to find another place for your bag.,Çantanız için başka bir yer bulmamız gerekiyor.,cabin_crew,passenger,A1,neutral,"baggage,alternative"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,My laptop bag does not fit with the rest of my things.,Laptop çantam diğer eşyalarımla birlikte sığmıyor.,passenger,cabin_crew,A2,neutral,"baggage,laptop_bag"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Your bag is too large to go in the small bin.,Çantanız küçük bölmeye koymak için fazla büyük.,cabin_crew,passenger,A1,neutral,"baggage,small_bin"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Could you flatten the bag a little? It may fit then.,Çantayı biraz bastırabilir misiniz? O zaman sığabilir.,cabin_crew,passenger,A2,polite,"baggage,fit"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"I only have this one bag, but it is not fitting anywhere.","Sadece bu bir çantam var, ama hiçbir yere sığmıyor.",passenger,cabin_crew,A2,neutral,"baggage,single_bag"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please keep the bag closed while we find a spot for it.,Çantaya bir yer bulana kadar lütfen kapalı tutun.,cabin_crew,passenger,B1,polite,"baggage,handling"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,My bag is too long to go above the seat.,Çantam koltuğun üstüne koymak için fazla uzun.,passenger,cabin_crew,A1,neutral,"baggage,length"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,That item will have to be gate-checked because it does not fit.,O eşya sığmadığı için kapıda teslim edilmesi gerekecek.,cabin_crew,passenger,B1,formal,"baggage,gate_check"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Can you tell me where I should put a bag that does not fit overhead?,Üst bagaja sığmayan bir çantayı nereye koymam gerektiğini söyleyebilir misiniz?,passenger,cabin_crew,B1,polite,"baggage,question"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"We are short on space, so big bags cannot go up top.","Yerimiz az, bu yüzden büyük çantalar üste konamaz.",cabin_crew,passenger,A2,neutral,"baggage,space_limit"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,My shopping bag does not fit next to my feet.,Alışveriş çantam ayaklarımın yanına sığmıyor.,passenger,cabin_crew,A2,neutral,"baggage,foot_space"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please do not force the bag into the compartment.,Lütfen çantayı bölmeye zorlamayın.,cabin_crew,passenger,A2,polite,"baggage,warning"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"My carry-on is too big, I know.",El bagajımın fazla büyük olduğunu biliyorum.,passenger,cabin_crew,A1,neutral,"baggage,carry_on"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,Please wait here while we see if your bag can fit in the cabin.,Çantanızın kabine sığıp sığmayacağına bakarken lütfen burada bekleyin.,cabin_crew,passenger,B1,reassuring,"baggage,waiting"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"The bag does not fit, so I need to check it in.","Çanta sığmıyor, bu yüzden onu bagaja vermem gerekiyor.",passenger,cabin_crew,A2,neutral,"baggage,check_in"
baggage_and_personal_items,bag does not fit,bag does not fit,English,Turkish,"If it does not fit, we can put it in the hold for you.","Sığmazsa, sizin için kargo bölümüne koyabiliriz.",cabin_crew,passenger,B1,reassuring,"baggage,hold"
