domain,scenario,source_language,target_language,source_text,target_text,speaker,listener,difficulty,tone,tags
greetings_and_basic_conversation,greeting,English,Turkish,Hello.,Merhaba.,passenger,cabin_crew,A1,neutral,greeting
greetings_and_basic_conversation,greeting,English,Turkish,Good morning.,Günaydın.,passenger,cabin_crew,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,Good afternoon.,Tünaydın.,cabin_crew,passenger,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,Good evening.,İyi akşamlar.,cabin_crew,passenger,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,How are you?,Nasılsınız?,passenger,cabin_crew,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,How are you doing?,"Nasılsınız, iyi misiniz?",cabin_crew,passenger,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,Nice to meet you.,Sizinle tanıştığıma memnun oldum.,passenger,cabin_crew,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,Welcome aboard.,Uçağımıza hoş geldiniz.,cabin_crew,passenger,A1,reassuring,"boarding,greeting"
greetings_and_basic_conversation,greeting,English,Turkish,Welcome on board.,Uçağa hoş geldiniz.,cabin_crew,passenger,A1,reassuring,"boarding,greeting"
greetings_and_basic_conversation,greeting,English,Turkish,Thank you.,Teşekkür ederim.,passenger,cabin_crew,A1,polite,thanks
greetings_and_basic_conversation,greeting,English,Turkish,Thanks a lot.,Çok teşekkür ederim.,passenger,cabin_crew,A1,polite,thanks
greetings_and_basic_conversation,greeting,English,Turkish,You're welcome.,Rica ederim.,cabin_crew,passenger,A1,polite,thanks
greetings_and_basic_conversation,greeting,English,Turkish,Excuse me.,Affedersiniz.,passenger,cabin_crew,A1,polite,attention
greetings_and_basic_conversation,greeting,English,Turkish,Sorry.,Özür dilerim.,passenger,cabin_crew,A1,polite,apology
greetings_and_basic_conversation,greeting,English,Turkish,No problem.,Sorun değil.,cabin_crew,passenger,A1,reassuring,response
greetings_and_basic_conversation,greeting,English,Turkish,Please.,Lütfen.,passenger,cabin_crew,A1,polite,politeness
greetings_and_basic_conversation,greeting,English,Turkish,"Yes, please.","Evet, lütfen.",passenger,cabin_crew,A1,polite,agreement
greetings_and_basic_conversation,greeting,English,Turkish,"No, thank you.","Hayır, teşekkür ederim.",passenger,cabin_crew,A1,polite,refusal
greetings_and_basic_conversation,greeting,English,Turkish,Yes.,Evet.,passenger,cabin_crew,A1,neutral,agreement
greetings_and_basic_conversation,greeting,English,Turkish,No.,Hayır.,passenger,cabin_crew,A1,neutral,refusal
greetings_and_basic_conversation,greeting,English,Turkish,Okay.,Tamam.,passenger,cabin_crew,A1,neutral,agreement
greetings_and_basic_conversation,greeting,English,Turkish,All right.,Peki.,cabin_crew,passenger,A1,neutral,agreement
greetings_and_basic_conversation,greeting,English,Turkish,I understand.,Anladım.,passenger,cabin_crew,A1,neutral,understanding
greetings_and_basic_conversation,greeting,English,Turkish,I don't understand.,Anlamıyorum.,passenger,cabin_crew,A1,neutral,understanding
greetings_and_basic_conversation,greeting,English,Turkish,Could you repeat that?,Tekrar eder misiniz?,passenger,cabin_crew,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Can you speak more slowly?,Daha yavaş konuşabilir misiniz?,passenger,cabin_crew,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Do you speak Turkish?,Türkçe konuşuyor musunuz?,passenger,cabin_crew,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I speak a little Turkish.,Biraz Türkçe konuşuyorum.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I speak English.,İngilizce konuşuyorum.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Can I help you?,Size yardım edebilir miyim?,cabin_crew,passenger,A1,polite,help
greetings_and_basic_conversation,greeting,English,Turkish,How can I help you?,Size nasıl yardımcı olabilirim?,cabin_crew,passenger,A1,polite,help
greetings_and_basic_conversation,greeting,English,Turkish,I need help.,Yardıma ihtiyacım var.,passenger,cabin_crew,A1,urgent,help
greetings_and_basic_conversation,greeting,English,Turkish,I am okay.,İyiyim.,passenger,cabin_crew,A1,reassuring,health
greetings_and_basic_conversation,greeting,English,Turkish,"I am fine, thank you.","İyiyim, teşekkür ederim.",passenger,cabin_crew,A1,polite,health
greetings_and_basic_conversation,greeting,English,Turkish,I am tired.,Yorgunum.,passenger,cabin_crew,A1,neutral,health
greetings_and_basic_conversation,greeting,English,Turkish,I am hungry.,Açım.,passenger,cabin_crew,A1,neutral,food
greetings_and_basic_conversation,greeting,English,Turkish,I am thirsty.,Susadım.,passenger,cabin_crew,A1,neutral,drink
greetings_and_basic_conversation,greeting,English,Turkish,I am cold.,Üşüyorum.,passenger,cabin_crew,A1,neutral,temperature
greetings_and_basic_conversation,greeting,English,Turkish,I am warm.,Sıcakladım.,passenger,cabin_crew,A1,neutral,temperature
greetings_and_basic_conversation,greeting,English,Turkish,I feel sick.,Midem bulanıyor.,passenger,cabin_crew,A1,urgent,health
greetings_and_basic_conversation,greeting,English,Turkish,I need a doctor.,Doktora ihtiyacım var.,passenger,cabin_crew,A1,urgent,"health,emergency"
greetings_and_basic_conversation,greeting,English,Turkish,"Call a doctor, please.",Lütfen bir doktor çağırın.,passenger,cabin_crew,A1,urgent,"health,emergency"
greetings_and_basic_conversation,greeting,English,Turkish,Please stay calm.,Lütfen sakin olun.,cabin_crew,passenger,A1,reassuring,reassurance
greetings_and_basic_conversation,greeting,English,Turkish,Please wait here.,Lütfen burada bekleyin.,cabin_crew,passenger,A1,neutral,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Please follow me.,Lütfen beni takip edin.,cabin_crew,passenger,A1,neutral,instruction
greetings_and_basic_conversation,greeting,English,Turkish,"This way, please.",Bu taraftan lütfen.,cabin_crew,passenger,A1,polite,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Have a nice flight.,İyi uçuşlar.,cabin_crew,passenger,A1,polite,farewell
greetings_and_basic_conversation,greeting,English,Turkish,Have a safe trip.,Güvenli yolculuklar.,cabin_crew,passenger,A1,polite,farewell
greetings_and_basic_conversation,greeting,English,Turkish,See you later.,Sonra görüşürüz.,passenger,cabin_crew,A1,neutral,farewell
greetings_and_basic_conversation,greeting,English,Turkish,Goodbye.,Hoşça kalın.,passenger,cabin_crew,A1,polite,farewell
greetings_and_basic_conversation,greeting,English,Turkish,Good night.,İyi geceler.,cabin_crew,passenger,A1,polite,greeting
greetings_and_basic_conversation,greeting,English,Turkish,"Nice day, isn't it?","Güzel bir gün, değil mi?",passenger,cabin_crew,A2,neutral,smalltalk
greetings_and_basic_conversation,greeting,English,Turkish,The flight is very full today.,Bugün uçak çok dolu.,passenger,cabin_crew,A2,neutral,flight
greetings_and_basic_conversation,greeting,English,Turkish,Is this seat taken?,Bu koltuk dolu mu?,passenger,cabin_crew,A2,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,May I sit here?,Buraya oturabilir miyim?,passenger,cabin_crew,A2,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,Is it okay if I move?,Yerin değişmesinde bir sakınca var mı?,passenger,cabin_crew,A2,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,I would like to change seats.,Koltuk değiştirmek istiyorum.,passenger,cabin_crew,A2,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,"Can you help me, please?","Bana yardım eder misiniz, lütfen?",passenger,cabin_crew,A1,polite,help
greetings_and_basic_conversation,greeting,English,Turkish,I am looking for my seat.,Koltuk numaramı arıyorum.,passenger,cabin_crew,A1,neutral,seat
greetings_and_basic_conversation,greeting,English,Turkish,I found my seat.,Koltuk numaramı buldum.,passenger,cabin_crew,A1,neutral,seat
greetings_and_basic_conversation,greeting,English,Turkish,My seat is over there.,Koltuk numaram orada.,passenger,cabin_crew,A1,neutral,seat
greetings_and_basic_conversation,greeting,English,Turkish,I am traveling with my child.,Çocuğumla seyahat ediyorum.,passenger,cabin_crew,A1,neutral,child
greetings_and_basic_conversation,greeting,English,Turkish,My baby is sleeping.,Bebeğim uyuyor.,passenger,cabin_crew,A1,neutral,child
greetings_and_basic_conversation,greeting,English,Turkish,Please be quiet.,Lütfen sessiz olun.,cabin_crew,passenger,A1,polite,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Please fasten your seat belt.,Lütfen emniyet kemerinizi bağlayın.,cabin_crew,passenger,A1,formal,safety
greetings_and_basic_conversation,greeting,English,Turkish,Please put your seat back upright.,Lütfen koltuğunuzu dik konuma getirin.,cabin_crew,passenger,A2,formal,safety
greetings_and_basic_conversation,greeting,English,Turkish,Please switch off your phone.,Lütfen telefonunuzu kapatın.,cabin_crew,passenger,A1,formal,safety
greetings_and_basic_conversation,greeting,English,Turkish,The seat belt sign is on.,Emniyet kemeri işareti yanıyor.,cabin_crew,passenger,A2,neutral,safety
greetings_and_basic_conversation,greeting,English,Turkish,We will land soon.,Az sonra ineceğiz.,cabin_crew,passenger,A1,reassuring,flight
greetings_and_basic_conversation,greeting,English,Turkish,We are running late.,Gecikiyoruz.,cabin_crew,passenger,A1,neutral,delay
greetings_and_basic_conversation,greeting,English,Turkish,The flight is delayed.,Uçuş gecikti.,cabin_crew,passenger,A1,neutral,delay
greetings_and_basic_conversation,greeting,English,Turkish,We apologize for the delay.,Gecikme için özür dileriz.,cabin_crew,passenger,A1,formal,"delay,apology"
greetings_and_basic_conversation,greeting,English,Turkish,Thank you for your patience.,Sabır gösterdiğiniz için teşekkür ederiz.,cabin_crew,passenger,A2,polite,delay
greetings_and_basic_conversation,greeting,English,Turkish,Please keep your seat belt fastened.,Lütfen emniyet kemerinizi bağlı tutun.,cabin_crew,passenger,A2,formal,safety
greetings_and_basic_conversation,greeting,English,Turkish,Please remain seated.,Lütfen oturduğunuz yerde kalın.,cabin_crew,passenger,A1,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Please stand by.,Lütfen beklemede kalın.,cabin_crew,passenger,A2,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,The crew is here to help you.,Kabin ekibi size yardımcı olmak için burada.,cabin_crew,passenger,A2,reassuring,help
greetings_and_basic_conversation,greeting,English,Turkish,Please let me know if you need anything.,Bir şeye ihtiyacınız olursa lütfen söyleyin.,cabin_crew,passenger,A2,polite,help
greetings_and_basic_conversation,greeting,English,Turkish,"I need water, please.","Su istiyorum, lütfen.",passenger,cabin_crew,A1,polite,drink
greetings_and_basic_conversation,greeting,English,Turkish,Can I have some water?,Biraz su alabilir miyim?,passenger,cabin_crew,A1,polite,drink
greetings_and_basic_conversation,greeting,English,Turkish,I would like tea.,Çay isterim.,passenger,cabin_crew,A1,polite,drink
greetings_and_basic_conversation,greeting,English,Turkish,I would like coffee.,Kahve isterim.,passenger,cabin_crew,A1,polite,drink
greetings_and_basic_conversation,greeting,English,Turkish,Do you have juice?,Meyve suyu var mı?,passenger,cabin_crew,A1,polite,drink
greetings_and_basic_conversation,greeting,English,Turkish,Do you have snacks?,Atıştırmalık var mı?,passenger,cabin_crew,A1,polite,food
greetings_and_basic_conversation,greeting,English,Turkish,I don't eat meat.,Et yemiyorum.,passenger,cabin_crew,A1,neutral,food
