row_id,direction,domain,source_text,reference_text,Base Llama 3.2 1B,Fine-tuned Llama 3.2 1B,M2M100 418M,NLLB-200 distilled 600M,OPUS-MT tc-big,mBART-50 many-to-many
442,English->Turkish,seat_and_cabin_location,I need an aisle seat because I get up often.,Sık sık kalktığım için koridor tarafı koltuk lazım.,I need an aisle seat because I get up often.,Sık kalktığım için koridor tarafı koltuk istiyorum.,Oturma koltuğuna ihtiyacım var çünkü sık sık kalkıyorum.,Sık kalktığım için bir koridor koltuğuna ihtiyacım var.,Sık sık kalktığım için koridor koltuğuna ihtiyacım var.,Ben sık sık uyandığım için bir koridor oturma yerim gerekiyor.
69,English->Turkish,flight_time_delay_and_arrival,Our arrival in local time will be announced shortly.,Yerel saate göre varış saatimiz birazdan duyurulacak.,Our arrival in local time will be announced shortly.,Varışımız yerel saate göre birazdan duyurulacak.,Yerel saatte varışımız kısa sürede duyurulacak.,Yerel zamanla varışımız yakında duyurulacak.,Yerel saate varışımız kısa süre içinde açıklanacaktır.,Yerel saatte gelişimiz yakında açıklanacak.
802,English->Turkish,children_and_family,Could you please put us in adjacent seats?,"Bizi yan yana koltuklara alabilir misiniz, lütfen?",Turkish: Lütfen bizlere yakınsın.,Bizi yan yana koltuklara alabilir misiniz?,Lütfen yan koltuklarda yer alabilir misiniz?,Bizi yan koltuklara yerleştirebilir misiniz?,Bizi bitişik koltuklara oturtabilir misiniz?,Bizi komşu koltuklara yerleştirebilir misiniz?
520,English->Turkish,toilet_and_lavatory,I need to use the toilet. It cannot wait.,Tuvaleti kullanmam gerekiyor. Bekleyemez.,I cannot translate to Turkish.,Tuvaleti kullanmam gerekiyor. Bekleyemem.,"Tuvaleti kullanmam gerekiyor, beklemeyeceğim.",Tuvalete gitmem gerekiyor.,"Tuvaleti kullanmam lazım, bekleyemez.",Temizlik yapmak zorundayım.
494,English->Turkish,pets_and_service_animals,Is there any form I need to fill out for my service animal?,Hizmet hayvanım için doldurmam gereken bir form var mı?,"Yes, you will need to fill out a medical form for your service animal.",Hizmet hayvanım için doldurmanız gereken form var mı?,Hayvanım için doldurmam gereken bir form var mı?,Hizmet hayvanım için doldurmam gereken bir form var mı?,Hizmet hayvanım için doldurmam gereken herhangi bir form var mı?,Hizmet hayvanımı doldurmak için gereken herhangi bir form var mı?
463,Turkish->English,food_and_drink,Sadece su ve meyve suyu içiyorum.,I only drink water and juice.,"I cannot translate ""sadece su ve meyve suyu içiyorum"" into English.",I only drink water and juice.,I only drink water and fruit.,I only drink water and juice.,I only drink water and juice.,I only drink water and juice.
104,Turkish->English,food_and_drink,Vegan menüden başka bir şey yemiyorum.,I don't eat anything except vegan food.,I can't translate that sentence.,I don't eat anything from the vegan menu.,I do not eat anything but vegan food.,I don't eat anything but the vegan menu.,I don't eat anything but a vegan menu.,I don't eat anything other than a vegan menu.
486,Turkish->English,toilet_and_lavatory,Kabin içinde tuvalet var mı?,Is there a toilet in the cabin?,Kabinde tuvalet var mı?,Is there a toilet in the cabin?,Is there a toilet in the cabin?,Is there a toilet in the cabin?,Is there a toilet in the cabin?,Is there a toilet in the cabinet?
482,Turkish->English,seat_and_cabin_location,Şemsiyemi üst dolaba koyabilir miyim?,Can I put my umbrella in the overhead bin?,"I can help you with that. Here's the translation:

Can I put my luggage in the overhead compartment?",Can I put my handkerchief in the overhead bin?,Can I put my shadow in the top?,Can I put my umbrella in the top cabinet?,Can I put my umbrella in the top closet?,Can I put my helmet on top?
931,Turkish->English,children_and_family,Bebeğim şu an yemek istiyor.,My baby wants to eat right now.,"""Mom, I'm hungry.""",My baby is hungry right now.,My baby wants to eat.,My baby wants to eat right now.,My baby wants to eat right now.,My baby wants to eat right now.
